ticker,yfinance_symbol,source,updated_at
EUCA3,EUCA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EUCA4,EUCA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EVEN3,EVEN3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
EZTC3,EZTC3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FESA3,FESA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FESA4,FESA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FHER3,FHER3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FICT3,FICT3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FIQE3,FIQE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FLRY3,FLRY3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FRAS3,FRAS3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
FRIO3,FRIO3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GEPA3,GEPA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GEPA4,GEPA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GFSA3,GFSA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GGBR3,GGBR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GGBR4,GGBR4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GGPS3,GGPS3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GMAT3,GMAT3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GOAU3,GOAU3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GOAU4,GOAU4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GRND3,GRND3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
GSHP3,GSHP3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HAGA3,HAGA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HAGA4,HAGA4.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HAPV3,HAPV3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HBOR3,HBOR3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HBRE3,HBRE3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
HBSA3,HBSA3.SA,https://api.dadosdemercado.com.br/acoes,2026-05-27 20:00:01
